id,rtti_name,short_name,vtable_rva
440,StartControlEvent,startcontrol,0x2ae59b8
441,StartDialogEvent,startdialog,0x2b4bfb0
442,StartedAimingEvent,startedaiming,0x2b42718
443,StartedShootingEvent,startedshooting,0x2b04c70
444,StartPhaseEvent,startphase,0x2b424e8
445,StartTravelModeEvent,starttravelmode,0x2b4bfe8
446,StationBuiltEvent,stationbuilt,0x2b46ab0
447,StopBoostEvent,stopboost,0x2a86dd0
448,StopCameraAnimationEvent,stopcameraanimation,0x2ae5788
449,StopControlEvent,stopcontrol,0x2ae5980
450,StopDialogEvent,stopdialog,0x2b4bf78
451,StopEnvMapProbeRenderEvent,stopenvmapproberender,0x2b41af0
452,StoppedAimingEvent,stoppedaiming,0x2b04ce0
453,StoppedShootingEvent,stoppedshooting,0x2b04ca8
454,StopSoundEvent,stopsound,0x2b44158
455,StopTravelModeEvent,stoptravelmode,0x2b46d18
456,SubordinateAddedEvent,subordinateadded,0x2b45620
457,SubordinatePromotedEvent,subordinatepromoted,0x2b45b28
458,SubordinateRemovedEvent,subordinateremoved,0x2b45af0
459,SupplyOrderWaresAddedEvent,supplyorderwaresadded,0x2b43860
460,SupplyOrderWaresRemovedEvent,supplyorderwaresremoved,0x2b43828
461,SupplyWaresAddedEvent,supplywaresadded,0x2b437f0
462,SupplyWaresRemovedEvent,supplywaresremoved,0x2b437b8
463,TakeShipFromStorageEvent,takeshipfromstorage,0x2b42d00
464,TargetInvalidEvent,targetinvalid,0x2b455e8
465,TargetLostEvent,targetlost,0x2b44270
466,TeleportEvent,teleport,0x2b45d58
467,TeleportFailedEvent,teleportfailed,0x2b46308
468,TeleportSuccessfulEvent,teleportsuccessful,0x2b45d20
469,TempComponentAddedEvent,tempcomponentadded,0x2b44778
470,TempComponentRemovedEvent,tempcomponentremoved,0x2b44740
471,TempZoneAddedEvent,tempzoneadded,0x2b445f0
472,TempZoneRemovedEvent,tempzoneremoved,0x2b445b8
473,TerraformingEventAvailableEvent,terraformingeventavailable,0x2b42130
474,TerraformingEventCompletedEvent,terraformingeventcompleted,0x2b42168
475,TerraformingEventStartedEvent,terraformingeventstarted,0x2b42948
476,TerraformingHabitabilityChangedEvent,terraforminghabitabilitychanged,0x2a5e890
477,TerraformingProjectAvailableEvent,terraformingprojectavailable,0x2b42980
478,TerraformingProjectCompletedEvent,terraformingprojectcompleted,0x2b42a28
479,TerraformingProjectFailedEvent,terraformingprojectfailed,0x2b428d8
480,TerraformingProjectProductionStartedEvent,terraformingprojectproductionstarted,0x2b429b8
481,TerraformingProjectStartedEvent,terraformingprojectstarted,0x2b42a60
482,TerraformingProjectSucceededEvent,terraformingprojectsucceeded,0x2b42910
483,TerraformingStatAddedEvent,terraformingstatadded,0x2b421d8
484,TerraformingStatChangedEvent,terraformingstatchanged,0x2b420c0
485,TerraformingStatRemovedEvent,terraformingstatremoved,0x2b421a0
486,TimeWarpCancelledEvent,timewarpcancelled,0x2ae5948
487,TimeWarpFailedEvent,timewarpfailed,0x2ae58a0
488,TimeWarpStartedEvent,timewarpstarted,0x2acf698
489,TimeWarpStoppedEvent,timewarpstopped,0x2acf660
490,TradeCancelledEvent,tradecancelled,0x2b474c0
491,TradeCargoArrivedEvent,tradecargoarrived,0x2b47450
492,TradeCargoDepartedEvent,tradecargodeparted,0x2b47488
493,TradeCargoDestroyedEvent,tradecargodestroyed,0x2b474f8
494,TradeCompletedEvent,tradecompleted,0x2b475a0
495,TradeStartedEvent,tradestarted,0x2b475d8
496,TrafficLevelChangedEvent,trafficlevelchanged,0x2b44cf0
497,TransitionEvent,transition,0x2b464c8
498,TransportedToOffsetEvent,transportedtooffset,0x2b45cb0
499,TravelDisabledEvent,traveldisabled,0x2b4c020
500,TravelModeChargeAbortedEvent,travelmodechargeaborted,0x2ae5a98
501,TravelModeChargeStartedEvent,travelmodechargestarted,0x2b46dc0
502,TravelModeStartedEvent,travelmodestarted,0x2ae5a60
503,TravelModeStoppedEvent,travelmodestopped,0x2ae5ad0
504,TriggerAnimationEvent,triggeranimation,0x2b47338
505,TryEjectRecyclableEvent,tryejectrecyclable,0x2b42408
506,TurretActivatedEvent,turretactivated,0x2b42788
507,TurretDeactivatedEvent,turretdeactivated,0x2b42750
508,TurretRangeRequestedEvent,turretrangerequested,0x2b42e18
509,UITriggeredEvent,uitriggered,0x2b43390
510,UndockedEvent,undocked,0x2b46228
511,UndockingClearedEvent,undockingcleared,0x2a86ba0
512,UndockingQueuedEvent,undockingqueued,0x2a5e9e0
513,UndockingStartedEvent,undockingstarted,0x2b461f0
514,UnitDestroyedEvent,unitdestroyed,0x2b436a0
515,UnitStartedBuildingEvent,unitstartedbuilding,0x2b3ae70
516,UnitStartedRepairingEvent,unitstartedrepairing,0x2b3ae00
517,UnitStoppedBuildingEvent,unitstoppedbuilding,0x2b3aea8
518,UnitStoppedRepairingEvent,unitstoppedrepairing,0x2b3ae38
519,UniverseGeneratedEvent,universegenerated,0x2b4c0c8
520,UnlockPlatformTriggersEvent,unlockplatformtriggers,0x2b42a98
521,UpdateBuildEvent,updatebuild,0x2a5eb30
522,UpdateDismantlingEvent,updatedismantling,0x2a86c10
523,UpdateEngineParametersEvent,updateengineparameters,0x2b4ba00
524,UpdateGravidarAccessEvent,updategravidaraccess,0x2b4bc30
525,UpdateGravidarCloakFactorEvent,updategravidarcloakfactor,0x2b4bca0
526,UpdateGravidarScanRadiusEvent,updategravidarscanradius,0x2b4bcd8
527,UpdateHoloMapEvent,updateholomap,0x2a5e858
528,UpdateMassTrafficInvolvementEvent,updatemasstrafficinvolvement,0x2b33580
529,UpdateTradeOffersEvent,updatetradeoffers,0x2a5ea88
530,UpdateZoneEvent,updatezone,0x2ae5718
531,VentureAbortedEvent,ventureaborted,0x2b42830
532,,venturecompleted,
533,,ventureshipadded,
534,,ventureshipremoved,
535,VerifyPathPointsEvent,verifypathpoints,0x2b43400
536,VoiceOutputEvent,voiceoutput,0x2a86bd8
537,VolatileWaresAddedEvent,volatilewaresadded,0x2b438d0
538,VolatileWaresRemovedEvent,volatilewaresremoved,0x2b43898
539,WarpEvent,warp,0x2b46538
540,WeaponActivatedEvent,weaponactivated,0x2b44a18
541,WeaponAmmoChangedEvent,weaponammochanged,0x2b42bb0
542,WeaponDeactivatedEvent,weapondeactivated,0x2b449e0
543,WeaponFiredEvent,weaponfired,0x2b45460
544,WeaponFireRangeRequestedEvent,weaponfirerangerequested,0x2b42e50
